# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	66314
#@/user_id	5a07802e-f501-4e1e-90d0-e1d0749305c3
a 	啊	c=201 d=0.985963 t=66314
wan wan 	玩玩	c=2 d=1 t=64843
wan wei 	玩味	c=1 d=1 t=54641
wan yi 	玩意	c=1 d=1 t=45082
wan yi 	萬一	c=1 d=1.72133e-07 t=66314
wan zhao 	萬兆	c=1 d=1 t=34209
wan zheng 	完整	c=6 d=1.42341e-28 t=66314
wang 	往	c=6 d=2.60762e-11 t=66314
wang 	忘	c=8 d=1.5535e-06 t=66314
wang 	王	c=2 d=1 t=61636
wang 	網	c=8 d=1.83787e-13 t=66314
wang ce shi 	網測試	c=1 d=7.05986e-52 t=66314
wang duan 	網段	c=2 d=1 t=57971
wang ge 	網格	c=1 d=1 t=42573
wang gong 	王宮	c=1 d=1 t=57982
wang gong 	網工	c=1 d=1 t=57983
wang guan 	網關	c=17 d=1.39568e-09 t=66314
wang ji 	忘記	c=7 d=3.94688e-05 t=66314
wang ka 	網卡	c=35 d=0.0169085 t=66314
wang le 	忘了	c=6 d=1.11222e-16 t=66314
wang luo 	網絡	c=30 d=2.43191e-08 t=66314
wang nian 	往年	c=1 d=1.30047e-32 t=66314
wang pan 	網盤	c=17 d=0.00135711 t=66314
wang shang 	網上	c=1 d=9.81367e-15 t=66314
wang shuo 	王說	c=2 d=1 t=56776
wang su 	網宿	c=6 d=1.03558 t=65521
wang su 	網速	c=1 d=1 t=65751
wang xia 	往下	c=1 d=1 t=30295
wang xian 	網線	c=1 d=1 t=52551
wang ye 	網頁	c=4 d=1.44572e-13 t=66314
wang yi 	網易	c=0 d=1.03041e-22 t=66314
wang yi ya 	網易呀	c=1 d=5.13907e-22 t=66314
wang yi yun 	網易雲	c=1 d=5.21674e-22 t=66314
wang zhan 	網站	c=4 d=1.42669e-06 t=66314
wang zhe 	王者	c=1 d=7.43724e-47 t=66314
wang zhi 	網址	c=1 d=1 t=34386
wei 	位	c=3 d=1.00012 t=58286
wei 	喂	c=1 d=8.37833e-37 t=66314
wei 	未	c=44 d=0.00233442 t=66314
wei 	爲	c=148 d=0.476953 t=66314
wei bo 	微薄	c=1 d=2.11952e-14 t=66314
wei cheng 	圍城	c=3 d=2.77276e-05 t=66314
wei chi 	維持	c=2 d=1 t=54248
wei dao 	未到	c=1 d=0.00159641 t=66314
wei dong 	未動	c=1 d=1 t=31031
wei du 	維度	c=19 d=3.5899e-05 t=66314
wei fang 	濰坊	c=3 d=2.8426 t=35414
wei he 	爲何	c=3 d=0.253043 t=66314
wei hu 	維護	c=14 d=0.0162413 t=66314
wei hu de 	維護的	c=1 d=1 t=63280
wei jin 	圍巾	c=1 d=1 t=50384
wei kong 	爲空	c=11 d=9.50989e-26 t=66314
wei lai 	未來	c=2 d=0.00615802 t=66314
wei le 	爲了	c=9 d=1.4962e-05 t=66314
wei neng 	未能	c=4 d=3.78942e-26 t=66314
wei ruan 	微軟	c=1 d=1 t=31973
wei sha 	爲啥	c=21 d=3.33179e-05 t=66314
wei shen me 	爲什麼	c=38 d=0.153355 t=66314
wei sheng jin 	衛生巾	c=3 d=2.62836e-16 t=66314
wei shi xian 	未實現	c=2 d=2.26223e-34 t=66314
wei shu 	位數	c=1 d=4.43228e-46 t=66314
wei wei 	微微	c=1 d=1 t=26209
wei xian 	危險	c=3 d=5.39796e-12 t=66314
wei xie 	威脅	c=1 d=1 t=35302
wei xin 	微信	c=9 d=0.0146986 t=66314
wei xiu 	維修	c=14 d=1 t=65469
wei yi 	唯一	c=2 d=1.12999e-26 t=66314
wei yi 	衛衣	c=3 d=2.39889e-17 t=66314
wei yu 	位於	c=1 d=7.87138e-38 t=66314
wei zai 	位在	c=1 d=3.43056e-32 t=66314
wei zhi 	位置	c=9 d=5.96364e-08 t=66314
wei zhi 	未知	c=1 d=0.618783 t=66314
wei zhun 	爲準	c=2 d=0.0347353 t=66314
wen 	問	c=35 d=0.198899 t=66314
wen 	溫	c=1 d=2.11729e-32 t=66314
wen 	穩	c=2 d=6.48919e-32 t=66314
wen ben 	文本	c=4 d=7.8947e-15 t=66314
wen bu wen 	穩不穩	c=1 d=6.52172e-31 t=66314
wen dang 	文檔	c=45 d=0.204505 t=66314
wen ding 	穩定	c=3 d=1.58133e-09 t=66314
wen ding xing 	穩定性	c=1 d=0.000731802 t=66314
wen du 	溫度	c=3 d=1.81738 t=51203
wen gao 	文稿	c=1 d=1 t=65490
wen guo 	問過	c=3 d=2.98299e-05 t=66314
wen jian 	文件	c=505 d=2.34748 t=66314
wen jian jia 	文件夾	c=2 d=1 t=47066
wen jian ming 	文件名	c=7 d=1.80989e-09 t=66314
wen le 	問了	c=3 d=3.73198e-05 t=66314
wen niang chu 	醞釀出	c=1 d=1 t=31797
wen qi lai 	問起來	c=1 d=1 t=31955
wen ti 	問題	c=376 d=1.76542 t=66314
wen ting jun 	溫庭筠	c=1 d=1 t=64770
wen wen 	問問	c=12 d=0.000598164 t=66314
wen wo 	問我	c=1 d=1 t=42770
wen xia 	問下	c=1 d=1 t=38363
wen ye cai 	溫野菜	c=1 d=2.1279e-31 t=66314
wen yi 	文藝	c=3 d=3.02488e-22 t=66314
wen yi xia 	問一下	c=70 d=0.175747 t=66314
wen zhi 	聞之	c=1 d=1 t=57313
wen zi 	文字	c=3 d=8.50957e-14 t=66314
wen zi 	蚊子	c=1 d=0.852144 t=66314
wen zi ji 	問自己	c=1 d=1 t=42773
wo 	我	c=691 d=1.73594 t=66314
wo 	窩	c=0 d=6.91653e-47 t=66314
wo an pai 	我安排	c=1 d=1 t=56041
wo ba 	我爸	c=5 d=6.77403e-07 t=66314
wo bang ni 	我幫你	c=1 d=1 t=32436
wo bi ni 	我比你	c=1 d=1.39961e-14 t=66314
wo ca 	我擦	c=3 d=4.51167e-43 t=66314
wo cao 	我曹	c=1 d=1.37849e-41 t=66314
wo cao 	臥槽	c=24 d=0.458406 t=66314
wo ce 	我測	c=1 d=1 t=64003
wo ce yi xia 	我測一下	c=1 d=1 t=27698
wo cha yi xia 	我查一下	c=1 d=1 t=59692
wo cuo 	我錯	c=1 d=1.08924e-35 t=66314
wo cuo le 	我錯了	c=3 d=1.93138e-38 t=66314
wo de 	我的	c=3 d=2.59373e-07 t=66314
wo de tian 	我的天	c=3 d=0.00286554 t=66314
wo deng lu 	我登錄	c=1 d=4.81647e-24 t=66314
wo dian wai mai 	我點外賣	c=1 d=1 t=53616
wo dou 	我都	c=7 d=8.9167e-05 t=66314
wo dou ke yi 	我都可以	c=1 d=3.03891e-47 t=66314
wo dou xing 	我都行	c=1 d=4.26951e-47 t=66314
wo fa xian 	我發現	c=2 d=1 t=45040
wo fa yi xia 	我發一下	c=3 d=0.00577048 t=66314
wo fang qi 	我放棄	c=1 d=1 t=63218
wo gai yi xia 	我該一下	c=2 d=1 t=57587
wo gan jue 	我感覺	c=1 d=1 t=27811
wo gei ni 	我給你	c=1 d=5.40256e-22 t=66314
wo geng xin 	我更新	c=1 d=2.00781e-24 t=66314
wo guo lai 	我過來	c=1 d=1 t=62984
wo guo lv 	我過濾	c=1 d=1 t=48442
wo hai 	我還	c=1 d=3.13753e-12 t=66314
wo hai huo zhe 	我還活着	c=1 d=3.15326e-11 t=66314
wo hai me 	我還麼	c=1 d=2.00017e-38 t=66314
wo hai mei 	我還沒	c=0 d=0.1 t=61359
wo hai mei kan 	我還沒看	c=1 d=1 t=61360
wo hai shi 	我還是	c=2 d=1.4542e-23 t=66314
wo hao mang 	我好忙	c=1 d=1 t=39908
wo hao xiang 	我好想	c=3 d=1.18959e-13 t=66314
wo huai yi 	我懷疑	c=2 d=1 t=48705
wo hui qu 	我回去	c=2 d=1.42269e-30 t=66314
wo ji de 	我記得	c=7 d=1.09557 t=62834
wo jia 	我家	c=1 d=1 t=33707
wo jia yi xia 	我加一下	c=1 d=1 t=45604
wo jin tian 	我今天	c=4 d=1.34104e-11 t=66314
wo jiu 	我就	c=6 d=6.01518e-21 t=66314
wo jue 	我覺	c=2 d=1.88038e-16 t=66314
wo jue de 	我覺得	c=9 d=5.27836e-13 t=66314
wo kan 	我看	c=15 d=0.000477483 t=66314
wo kan cuo 	我看錯	c=1 d=9.51523e-34 t=66314
wo kan dao 	我看到	c=1 d=1 t=52580
wo kan dao le 	我看到了	c=1 d=1 t=60214
wo kan kan 	我看看	c=12 d=0.88692 t=66314
wo kan le 	我看了	c=3 d=0.000432902 t=66314
wo kan ni 	我看你	c=1 d=1 t=56842
wo kan yi jing 	我看已經	c=1 d=1 t=24358
wo kan yi xia 	我看一下	c=31 d=0.0675424 t=66314
wo kao 	我靠	c=7 d=4.09874e-08 t=66314
wo ke yi 	我可以	c=1 d=1 t=35154
wo la ge 	我拉個	c=1 d=1 t=53462
wo lai 	我來	c=8 d=1.85674e-30 t=66314
wo lao po 	我老婆	c=3 d=1 t=56874
wo le 	我了	c=0 d=3.83337e-45 t=66314
wo le ge cao 	我了割草	c=1 d=3.85258e-44 t=66314
wo mei 	我沒	c=2 d=1.00006 t=38353
wo mei you 	我沒有	c=4 d=9.29324e-21 t=66314
wo men 	我們	c=128 d=0.900334 t=66314
wo na 	我那	c=0 d=0.1 t=40330
wo na gong kai 	我那公開	c=1 d=1 t=40331
wo neng 	我能	c=1 d=1 t=49274
wo nv 	我女	c=1 d=1 t=24567
wo pa yi hui 	我趴一會	c=1 d=8.93492e-29 t=66314
wo qu 	我去	c=10 d=2.98093e-08 t=66314
wo rang 	我讓	c=1 d=1 t=57758
wo shen fen 	我身份	c=1 d=1 t=35396
wo shi 	我是	c=3 d=1.59777e-14 t=66314
wo shi yi xia 	我試一下	c=2 d=3.45128e-44 t=66314
wo shi zhu 	我是豬	c=1 d=1.60577e-13 t=66314
wo shu xi 	我熟悉	c=1 d=1 t=31898
wo shuo 	我說	c=2 d=4.11132e-44 t=66314
wo tai qiong le 	我太窮了	c=1 d=1.741e-23 t=66314
wo tian 	我天	c=1 d=1 t=64847
wo ting ting 	我聽聽	c=2 d=3.8689e-48 t=66314
wo wen 	我問	c=1 d=9.17672e-49 t=66314
wo wen le 	我問了	c=2 d=3.53575e-05 t=66314
wo wen wen 	我問問	c=3 d=1.40151e-30 t=66314
wo wen yi xia 	我問一下	c=4 d=8.04433e-29 t=66314
wo wo 	窩窩	c=0 d=6.91653e-47 t=66314
wo wo wo 	我我我	c=1 d=3.13753e-11 t=66314
wo wo wo 	窩窩窩	c=2 d=5.08171e-37 t=66314
wo xia 	我下	c=1 d=9.47583e-44 t=66314
wo xian 	我先	c=13 d=1.43036e-05 t=66314
wo xian fa 	我先發	c=1 d=1 t=27204
wo xian zai 	我現在	c=1 d=3.3552e-06 t=66314
wo xiang 	我想	c=2 d=5.06342e-24 t=66314
wo xiang xiang 	我想想	c=1 d=1 t=42249
wo yao 	我要	c=4 d=3.88463e-35 t=66314
wo ye 	我也	c=28 d=9.31461e-13 t=66314
wo ye shi 	我也是	c=3 d=6.04945e-29 t=66314
wo ye yao 	我也要	c=1 d=1.89185e-30 t=66314
wo yi qi 	我一起	c=1 d=1 t=60422
wo yi wei 	我以爲	c=5 d=1.15463e-15 t=66314
wo you 	我有	c=4 d=1 t=65666
wo yu suan 	我預算	c=1 d=4.69021e-35 t=66314
wo zai 	我再	c=8 d=8.88977e-05 t=66314
wo zai 	我在	c=1 d=1 t=30383
wo zai qu 	我再去	c=2 d=1 t=56314
wo zhao 	我找	c=2 d=1 t=62268
wo zhao bu dao 	我找不到	c=1 d=1 t=60379
wo zhao zhao 	我找找	c=5 d=2.39877e-13 t=66314
wo zhe 	我這	c=0 d=3.61836e-13 t=66314
wo zhe bian 	我這邊	c=17 d=0.0229582 t=66314
wo zhe liang tian 	我這兩天	c=1 d=1 t=40311
wo zhi 	我只	c=2 d=0.0124629 t=66314
wo zhi dao 	我知道	c=2 d=4.72527e-06 t=66314
wo zhi dao le 	我知道了	c=1 d=4.74896e-05 t=66314
wo zhi qian 	我之前	c=1 d=1 t=47496
wo zhi shi 	我只是	c=1 d=4.51644e-32 t=66314
wo zi ji 	我自己	c=3 d=1.14333e-17 t=66314
wu 	五	c=1 d=6.0548e-10 t=66314
wu 	吳	c=1 d=1.10721e-51 t=66314
wu 	烏	c=1 d=6.60319e-30 t=66314
wu 	無	c=21 d=0.000887253 t=66314
wu 	誤	c=3 d=3.73046e-18 t=66314
wu 	霧	c=3 d=2.11362e-40 t=66314
wu an 	午安	c=0 d=0.1 t=47258
wu an an 	午安安	c=2 d=1 t=52578
wu bai 	五百	c=0 d=0.1 t=34899
wu bai ci 	五百次	c=1 d=1 t=34900
wu cao zuo 	誤操作	c=1 d=1 t=30566
wu cha 	誤差	c=2 d=0.509156 t=66314
wu diao 	誤調	c=1 d=1 t=26334
wu fa 	無法	c=21 d=0.00106477 t=66314
wu feng 	無縫	c=1 d=1 t=47136
wu gan 	惡感	c=1 d=1 t=24545
wu gan 	無感	c=4 d=1.87372 t=64167
wu guo 	無果	c=1 d=5.28084e-48 t=66314
wu han 	武漢	c=2 d=1.08046 t=50150
wu jie 	誤解	c=2 d=7.11869e-28 t=66314
wu kong 	悟空	c=1 d=1.13408e-39 t=66314
wu li 	物理	c=6 d=2.45234e-24 t=66314
wu li ji 	物理機	c=8 d=0.436878 t=66314
wu lian jie 	無連接	c=1 d=1 t=50301
wu liu 	五六	c=0 d=0.1 t=52949
wu liu ci 	五六次	c=1 d=1 t=52950
wu neng wei li 	無能爲力	c=1 d=1 t=43272
wu ren 	無人	c=1 d=1 t=54661
wu shui 	午睡	c=1 d=1 t=52948
wu sun 	無損	c=1 d=1 t=56669
wu tang 	無糖	c=1 d=1.08998e-43 t=66314
wu wu wu 	嗚嗚嗚	c=1 d=5.19779e-38 t=66314
wu xi 	無錫	c=1 d=1 t=35283
wu xian 	無限	c=1 d=1.32764e-40 t=66314
wu xiao 	無效	c=4 d=7.38882e-29 t=66314
wu xiu 	午休	c=1 d=1 t=65720
wu xu 	無需	c=2 d=1.01139 t=41464
wu yu 	無語	c=12 d=1.84528 t=66314
wu yu le 	無語了	c=6 d=0.763379 t=66314
wu zhuang tai 	無狀態	c=2 d=1 t=49969
xi 	吸	c=1 d=1 t=47537
xi 	希	c=2 d=0.0110537 t=66314
xi 	洗	c=2 d=1.18993e-17 t=66314
xi 	西	c=1 d=1 t=35417
xi ban ya 	西班牙	c=1 d=1 t=65765
xi bei 	西貝	c=2 d=3.65065e-31 t=66314
xi bo 	稀薄	c=1 d=3.59897e-37 t=66314
xi fu 	吸附	c=1 d=6.2305e-23 t=66314
xi gai 	膝蓋	c=1 d=2.1129e-36 t=66314
xi guan 	習慣	c=1 d=1.00289 t=45644
xi guan le 	習慣了	c=2 d=1.99501 t=44937
xi hong shi 	西紅柿	c=1 d=1.6311e-50 t=66314
xi huan 	喜歡	c=5 d=5.49092e-07 t=66314
xi huan de 	喜歡的	c=1 d=2.28453e-43 t=66314
xi huan ma 	喜歡嗎	c=1 d=1 t=37404
xi jie 	細節	c=2 d=1 t=49887
xi kan 	細看	c=1 d=5.21036e-37 t=66314
xi ma la ya 	喜馬拉雅	c=1 d=9.52495e-46 t=66314
xi nao 	洗腦	c=1 d=1 t=30681
xi shan 	西山	c=0 d=3.19537e-21 t=66314
xi shan ju 	西山居	c=2 d=5.17379e-13 t=66314
xi shan ju 	西山據	c=-1 d=0 t=66314
xi shou ye 	洗手液	c=1 d=4.41557e-31 t=66314
xi tong 	系統	c=27 d=0.000728153 t=66314
xi tou 	洗頭	c=1 d=1 t=53771
xi wang 	希望	c=11 d=3.87444e-05 t=66314
xi xi 	嘻嘻	c=22 d=0.0338776 t=66314
xi xi xi 	嘻嘻嘻	c=8 d=0.00012465 t=66314
xi xue gui 	吸血鬼	c=1 d=1 t=42794
xi yi 	洗衣	c=0 d=0.1 t=35152
xi yi ye 	洗衣液	c=2 d=1 t=45689
xi zang 	西藏	c=1 d=2.07113e-07 t=66314
xia 	下	c=381 d=1.07235 t=66314
xia 	夏	c=2 d=2.15185e-45 t=66314
xia 	蝦	c=2 d=2.237e-31 t=66314
xia ban 	下班	c=8 d=0.00479836 t=66314
xia ban nian 	下半年	c=5 d=0.0114473 t=66314
xia chang 	狹長	c=1 d=3.9871e-36 t=66314
xia ci 	下次	c=6 d=4.05934e-12 t=66314
xia dan 	下單	c=2 d=1.73181e-31 t=66314
xia dan le 	下單了	c=1 d=1.79989e-32 t=66314
xia diao 	下掉	c=11 d=1.00004 t=62783
xia diao 	瞎掉	c=1 d=1 t=28349
xia fa 	下發	c=7 d=1.02372 t=65176
xia fang 	下方	c=2 d=2.73749e-24 t=66314
xia ge yue 	下個月	c=1 d=8.91944e-38 t=66314
xia hao 	下好	c=1 d=1.45975e-09 t=66314
xia hua xian 	下劃線	c=2 d=2.86349e-24 t=66314
xia jiang 	下降	c=4 d=1.23575 t=47955
xia lai 	下來	c=14 d=1.52326e-10 t=66314
xia le 	下了	c=2 d=1.92213e-11 t=66314
xia lou 	下樓	c=2 d=6.15363e-24 t=66314
xia mian 	下面	c=12 d=5.16036e-11 t=66314
xia qu 	下去	c=10 d=0.248627 t=66314
xia shuo 	瞎說	c=1 d=2.04941e-31 t=66314
xia shuo de 	瞎說的	c=1 d=2.05968e-30 t=66314
xia tong 	下同	c=1 d=1 t=52028
xia wan 	下完	c=1 d=3.37833e-28 t=66314
xia wu 	下午	c=19 d=0.00123304 t=66314
xia xia 	下下	c=1 d=7.84012e-50 t=66314
xia xian 	下線	c=78 d=0.0931334 t=66314
xia xing 	下行	c=3 d=1.81058 t=47304
xia yi 	下一	c=1 d=1.46552e-26 t=66314
xia yi bu 	下一步	c=1 d=1 t=24994
xia yi ge 	下一個	c=4 d=3.48063e-26 t=66314
xia yu 	下雨	c=1 d=2.05151e-42 t=66314
xia zai 	下載	c=178 d=0.0625989 t=66314
xia zhi 	下肢	c=1 d=1 t=46606
xia zhou 	下週	c=13 d=0.0239928 t=66314
xia zhou ba 	下週吧	c=1 d=1 t=26499
xia zhou mo 	下週末	c=1 d=7.80102e-50 t=66314
xia zhou si 	下週四	c=1 d=1.9344e-27 t=66314
xia zi 	下子	c=2 d=3.75787e-42 t=66314
xian 	先	c=253 d=1.89116 t=66314
xian 	現	c=1 d=1.27867e-39 t=66314
xian 	線	c=10 d=0.0075018 t=66314
xian 	閒	c=1 d=1 t=32034
xian 	限	c=1 d=1 t=39242
xian ba 	先把	c=2 d=2.56958e-44 t=66314
xian bu mai 	先不買	c=1 d=4.35442e-14 t=66314
xian cheng 	線程	c=4 d=1.9609e-40 t=66314
xian cong 	先從	c=1 d=1.87659e-23 t=66314
xian da che 	先打車	c=1 d=5.34317e-39 t=66314
xian dian 	限電	c=4 d=1 t=60394
xian fa 	先發	c=2 d=1 t=56671
xian fa gei 	先發給	c=1 d=4.57768e-14 t=66314
xian gen 	先跟	c=2 d=1 t=57458
xian hou 	先後	c=3 d=2.28693e-26 t=66314
xian jin 	先進	c=1 d=1 t=42078
xian kan kan 	先看看	c=1 d=2.64064e-12 t=66314
xian liang 	限量	c=2 d=5.9521e-44 t=66314
xian liu 	限流	c=10 d=2.20183e-21 t=66314
xian lu 	線路	c=23 d=2.42808 t=51755
xian mu 	羨慕	c=1 d=1.25075e-44 t=66314
xian qi 	嫌棄	c=2 d=0.798516 t=66314
xian qu 	先去	c=1 d=1 t=52446
xian rang 	先讓	c=1 d=1.79866e-24 t=66314
xian shang 	先上	c=1 d=7.27362e-50 t=66314
xian shang 	線上	c=91 d=0.402474 t=66314
xian shang de 	線上的	c=1 d=1.30184e-15 t=66314
xian sheng 	先生	c=2 d=0.00324919 t=66314
xian shi 	限時	c=2 d=1.99005 t=51458
xian shi 	顯示	c=29 d=4.95641e-08 t=66314
xian su 	限速	c=12 d=5.81541e-06 t=66314
xian xiang 	現象	c=4 d=8.3843e-16 t=66314
xian yao 	先要	c=1 d=2.47143e-27 t=66314
xian you 	現有	c=3 d=6.70184e-28 t=66314
xian yu 	先於	c=1 d=1 t=26864
xian yu 	限於	c=1 d=1 t=26863
xian zai 	現在	c=138 d=1.45818 t=66314
xian zhi 	限制	c=25 d=7.9084e-05 t=66314
xiang 	享	c=6 d=2.12609e-21 t=66314
xiang 	像	c=20 d=0.471865 t=66314
xiang 	向	c=4 d=1.80806 t=33743
xiang 	想	c=64 d=1.18424e-10 t=66314
xiang 	箱	c=1 d=7.94643e-32 t=66314
xiang 	項	c=1 d=1.00004 t=26291
xiang 	香	c=1 d=0.00139481 t=66314
xiang bi 	相比	c=2 d=1.91053e-19 t=66314
xiang bu 	相簿	c=1 d=1.6286e-32 t=66314
xiang bu dao 	想不到	c=1 d=1 t=43400
xiang bu qi lai 	想不起來	c=2 d=1.63677e-32 t=66314
xiang cha 	相差	c=2 d=6.00374e-28 t=66314
xiang dang yu 	相當於	c=1 d=1.84225e-41 t=66314
xiang dao 	想到	c=1 d=1 t=40751
xiang de 	想得	c=2 d=1 t=52340
xiang dui 	相對	c=3 d=4.79164e-22 t=66314
xiang guan 	相關	c=24 d=0.153499 t=66314
xiang guo 	想過	c=1 d=1 t=42858
xiang hao 	想好	c=1 d=1 t=51440
xiang he 	想喝	c=1 d=1.38564e-43 t=66314
xiang hu 	相互	c=4 d=1.31743e-08 t=66314
xiang lao po 	想老婆	c=1 d=4.82796e-52 t=66314
xiang ming bai 	想明白	c=1 d=1 t=30660
xiang mu 	項目	c=34 d=0.00439189 t=66314
xiang ni 	想你	c=11 d=0.00140885 t=66314
xiang qi 	象棋	c=2 d=3.00978e-14 t=66314
xiang qi lai 	想起來	c=2 d=6.16646e-48 t=66314
xiang qin 	相親	c=1 d=1 t=54694
xiang shou 	享受	c=2 d=5.18542e-10 t=66314
xiang shui 	香水	c=1 d=0.839457 t=66314
xiang shuo 	想說	c=0 d=0.1 t=42120
xiang shuo sha 	想說啥	c=1 d=1 t=42121
xiang tong 	相同	c=30 d=0.149569 t=66314
xiang wo 	向我	c=1 d=8.13071e-37 t=66314
xiang wo 	想我	c=1 d=8.17147e-37 t=66314
xiang xi 	詳細	c=2 d=1.53058e-37 t=66314
xiang xia 	向下	c=1 d=1 t=54932
xiang xiang 	想想	c=2 d=1.63416e-23 t=66314
xiang xiang 	香香	c=1 d=6.53749e-30 t=66314
xiang xin 	相信	c=2 d=3.37546e-18 t=66314
xiang yao 	想要	c=1 d=9.76773e-48 t=66314
xiang ying 	相應	c=0 d=2.70749e-13 t=66314
xiang ying 	響應	c=13 d=2.79129e-09 t=66314
xiang ying man 	相應慢	c=1 d=2.72106e-12 t=66314
xiang ying tou 	響應頭	c=1 d=1 t=27755
xiang zi 	箱子	c=2 d=2.07466e-27 t=66314
xiang zi xun 	想諮詢	c=1 d=1 t=36761
xiao 	小	c=41 d=0.0973966 t=66314
xiao 	效	c=1 d=1 t=57301
xiao 	笑	c=1 d=3.40116e-19 t=66314
xiao bai 	小白	c=3 d=1.40514e-32 t=66314
xiao bao 	小包	c=0 d=1.21945e-41 t=66314
xiao bao zhuang 	小包裝	c=1 d=1.22557e-40 t=66314
xiao bu fen 	小部分	c=1 d=3.68067e-07 t=66314
xiao chao 	小炒	c=0 d=0.1 t=29591
xiao chao rou 	小炒肉	c=1 d=1 t=29592
xiao cheng xu 	小程序	c=4 d=1.48209e-35 t=66314
xiao chuang 	小窗	c=1 d=1 t=39143
xiao dao 	小道	c=1 d=2.06502e-31 t=66314
xiao de 	曉得	c=0 d=1.86114e-15 t=66314
xiao de le 	曉得了	c=2 d=3.75032e-14 t=66314
xiao fei 	消費	c=16 d=9.02069e-16 t=66314
xiao fei zhe 	消費者	c=2 d=1 t=37473
xiao guo 	效果	c=26 d=0.715338 t=66314
xiao hao 	小號	c=4 d=7.75312e-07 t=66314
xiao hao 	消耗	c=1 d=8.54931e-10 t=66314
xiao hui 	銷毀	c=2 d=3.57169e-32 t=66314
xiao jia 	小家	c=1 d=1.59278e-35 t=66314
xiao jie 	小姐	c=1 d=1 t=65635
xiao ling shi 	小零食	c=1 d=2.47051e-52 t=66314
xiao lv 	效率	c=3 d=1.74913e-19 t=66314
xiao mi 	小米	c=2 d=6.74997e-14 t=66314
xiao neng shou 	小能手	c=1 d=1 t=61236
xiao pang 	小胖	c=1 d=1 t=65143
xiao pi lou 	小紕漏	c=1 d=1 t=27869
xiao qu 	小區	c=2 d=1.16544e-07 t=66314
xiao sheng 	小聲	c=1 d=1 t=24251
xiao shi 	小時	c=20 d=0.506617 t=66314
xiao shi 	消失	c=1 d=1 t=35747
xiao shi hou 	小時候	c=1 d=1 t=62632
xiao shu dian 	小數點	c=1 d=1 t=25904
xiao wang zhan 	小網站	c=1 d=1 t=63342
xiao wen jian 	小文件	c=11 d=1 t=59181
xiao xi 	消息	c=89 d=0.67268 t=66314
xiao xiang quan 	肖像權	c=1 d=3.99823e-10 t=66314
xiao xing 	小邢	c=33 d=1.25173 t=64338
xiao xue sheng 	小學生	c=1 d=1 t=61362
xiao yao 	逍遙	c=1 d=2.17873e-45 t=66314
xiao yi dian 	小一點	c=2 d=1.00104 t=40183
xiao yu 	小於	c=9 d=9.9085e-07 t=66314
xiao yuan 	校園	c=1 d=3.37891e-30 t=66314
xiao zhao 	校招	c=5 d=0.0734746 t=66314
xiao zhu 	小豬	c=39 d=1.96372e-10 t=66314
xiao zhu zhu 	小豬豬	c=1 d=1 t=61757
xiao zuo 	小作	c=1 d=4.04817e-09 t=66314
xie 	些	c=15 d=0.0378169 t=66314
xie 	協	c=1 d=1 t=62553
xie 	寫	c=48 d=0.0161104 t=66314
xie 	謝	c=4 d=2.33631 t=53542
xie 	鞋	c=4 d=2.18591e-11 t=66314
xie cheng 	寫成	c=2 d=1 t=45654
xie cheng 	攜程	c=1 d=1.20338e-32 t=66314
xie cheng de 	攜程的	c=1 d=1.20942e-31 t=66314
xie dai 	攜帶	c=1 d=1 t=42473
xie dao 	寫到	c=3 d=1 t=61951
xie dui mian 	斜對面	c=1 d=1 t=35442
xie ge 	寫個	c=1 d=1 t=39403
xie le 	寫了	c=1 d=1 t=45229
xie qing chu 	寫清楚	c=1 d=1 t=53538
xie ru 	寫入	c=20 d=0.084163 t=66314
xie ru shi 	寫入時	c=1 d=1 t=54760
xie si 	寫死	c=7 d=1.62517 t=56980
xie tiao 	協調	c=1 d=0.581909 t=29944
xie tiao zhong 	協調中	c=1 d=1 t=29945
xie xi 	歇息	c=1 d=1 t=49242
xie xie 	謝謝	c=75 d=0.000704666 t=66314
xie yi 	協議	c=2 d=1.0004 t=25706
xie yi xia 	寫一下	c=1 d=1 t=52757
xie zai 	卸載	c=5 d=9.48813e-22 t=66314
xie zai 	寫在	c=2 d=6.32251e-19 t=66314
xie zi 	鞋子	c=7 d=2.85913e-17 t=66314
xin 	信	c=1 d=1 t=64065
xin 	心	c=1 d=1 t=49671
xin 	新	c=88 d=0.172365 t=66314
xin ban 	新版	c=5 d=5.16219e-16 t=66314
xin bao 	新包	c=1 d=2.4137e-43 t=66314
xin bu zai yan 	心不在焉	c=1 d=0.0167392 t=66314
xin cun 	新村	c=1 d=1 t=35405
xin de 	新的	c=15 d=4.88261e-08 t=66314
xin fang 	新房	c=1 d=7.11384e-24 t=66314
xin fu wu 	新服務	c=1 d=2.35826e-05 t=66314
xin gong neng 	新功能	c=1 d=1 t=31762
xin hao 	信號	c=1 d=8.22082e-49 t=66314
xin ji 	心機	c=1 d=4.71693e-43 t=66314
xin ji qi 	新機器	c=9 d=4.96224 t=45986
xin jia 	新加	c=2 d=1 t=47920
xin jia po 	新加坡	c=8 d=0.445378 t=66314
xin jian 	新建	c=24 d=7.5322e-08 t=66314
xin jiu 	新舊	c=2 d=2.74887e-14 t=66314
xin ku 	新庫	c=1 d=1 t=63329
